,loan_id,account_id,loan_date,amount,loan_duration,payments,loan_success,disp_id,disposition_type,account_frequency,account_creation,account_district code ,account_district region,account_district no. of inhabitants,account_district no. of municipalities with inhabitants < 499 ,account_district no. of municipalities with inhabitants 500-1999,account_district no. of municipalities with inhabitants 2000-9999 ,account_district no. of municipalities with inhabitants >10000 ,account_district no. of cities ,account_district ratio of urban inhabitants ,account_district average salary ,account_district unemploymant rate '95 ,account_district unemploymant rate '96 ,account_district no. of enterpreneurs per 1000 inhabitants ,account_district no. of commited crimes '95 ,account_district no. of commited crimes '96 ,age,women,birthday,client_district code ,client_district region,client_district no. of inhabitants,client_district no. of municipalities with inhabitants < 499 ,client_district no. of municipalities with inhabitants 500-1999,client_district no. of municipalities with inhabitants 2000-9999 ,client_district no. of municipalities with inhabitants >10000 ,client_district no. of cities ,client_district ratio of urban inhabitants ,client_district average salary ,client_district unemploymant rate '95 ,client_district unemploymant rate '96 ,client_district no. of enterpreneurs per 1000 inhabitants ,client_district no. of commited crimes '95 ,client_district no. of commited crimes '96 
10,7121,10364,931110,21924,36,609,1,12446,OWNER,monthly issuance,930117,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,38,False,600820,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
11,6077,5270,931122,79608,24,3317,1,6367,OWNER,monthly issuance,930113,44,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325,28,False,700428,44,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325
12,6228,6034,931201,464520,60,7742,-1,7291,OWNER,weekly issuance,930319,6,central Bohemia,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120,58,True,401202,77,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590
13,6356,6701,931208,95400,36,2650,1,8091,OWNER,weekly issuance,930315,49,east Bohemia,75685,31,28,5,1,9,60.8,8208,1.89,2.26,155,1660,2123,27,False,710210,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
14,5523,2705,931208,93888,36,2608,1,3264,OWNER,issuance after transaction,930705,63,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,48,True,501020,63,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
15,6456,7123,931209,47016,12,3918,1,8598,OWNER,issuance after transaction,930414,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,41,True,571231,46,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618
16,7104,10320,931213,259740,60,4329,1,12387,OWNER,monthly issuance,930711,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,19,False,790316,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
17,6820,9034,931216,38148,12,3179,1,10818,OWNER,monthly issuance,930628,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,33,True,650122,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
18,6876,9236,931221,86616,12,7218,1,11064,OWNER,monthly issuance,930818,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,37,False,610928,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
19,7097,10266,931223,75624,24,3151,-1,12317,OWNER,monthly issuance,930610,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,40,False,581207,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
20,4959,2,940105,80952,24,3373,1,2,OWNER,monthly issuance,930226,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,53,False,450204,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
21,6499,7401,940105,80952,24,3373,1,8865,OWNER,monthly issuance,930226,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,53,False,450204,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
22,5479,2486,940110,24516,12,2043,1,3001,OWNER,monthly issuance,930227,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,40,False,581007,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
23,5170,1071,940120,253200,60,4220,1,1286,OWNER,weekly issuance,930510,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,48,True,500313,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
24,6721,8475,940121,21072,24,878,1,10151,OWNER,monthly issuance,930908,4,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,34,True,640809,17,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181
25,7259,11111,940131,108144,36,3004,1,13349,OWNER,monthly issuance,930520,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,35,True,630512,59,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305
26,5285,1603,940206,78936,12,6578,1,1944,OWNER,monthly issuance,930509,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,41,True,570122,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
27,5189,1166,940207,149040,48,3105,1,1404,OWNER,monthly issuance,930421,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,30,True,681220,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
28,6650,8073,940217,49320,12,4110,-1,9665,OWNER,issuance after transaction,930903,24,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,53,True,451003,24,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273
29,7226,10940,940223,197748,36,5493,1,13139,OWNER,monthly issuance,930913,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,28,True,700505,13,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875
30,6087,5313,940227,300660,60,5011,1,6417,OWNER,monthly issuance,930429,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,48,False,500107,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872
31,7262,11135,940301,182628,36,5073,1,13379,OWNER,monthly issuance,931010,75,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505,39,False,590523,75,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505
32,5519,2694,940308,91632,12,7636,1,3251,OWNER,monthly issuance,930308,7,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,36,True,621228,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
33,6577,7753,940311,51696,24,2154,1,9285,OWNER,monthly issuance,930208,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,30,True,680128,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
34,6509,7445,940315,55368,24,2307,1,8918,OWNER,monthly issuance,930318,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,59,True,391225,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
35,6520,7485,940316,91200,24,3800,1,8965,OWNER,monthly issuance,930728,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,43,True,550826,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743
36,6699,8330,940330,7656,24,319,1,9979,OWNER,monthly issuance,930328,48,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717,36,True,620903,48,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717
37,6336,6555,940331,212400,36,5900,1,7914,OWNER,weekly issuance,930305,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,32,True,661024,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822
38,7055,10079,940406,167100,60,2785,1,12088,OWNER,monthly issuance,930506,62,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,28,True,700117,62,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906
39,6103,5385,940407,149340,60,2489,1,6499,OWNER,weekly issuance,930521,44,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325,35,False,630201,44,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325
40,6202,5891,940418,65184,12,5432,1,7127,OWNER,monthly issuance,930125,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,41,False,570929,3,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813
41,7066,10131,940502,215388,36,5983,-1,12156,OWNER,monthly issuance,931127,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,39,False,591217,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743
42,6696,8321,940509,89040,60,1484,1,9967,OWNER,monthly issuance,930412,77,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,28,True,700125,77,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590
43,6072,5256,940510,193968,36,5388,1,6349,OWNER,issuance after transaction,931025,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,26,False,721203,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208
44,5130,813,940511,24312,12,2026,1,976,OWNER,monthly issuance,930210,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,43,True,551119,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913
45,5568,2933,940517,272520,60,4542,1,3542,OWNER,monthly issuance,930618,10,central Bohemia,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316,59,False,390902,10,central Bohemia,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316
46,6678,8173,940520,80340,12,6695,1,9787,OWNER,monthly issuance,930705,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,22,True,760206,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
47,6998,9833,940521,97632,12,8136,1,11794,OWNER,monthly issuance,930724,20,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,30,True,680907,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354
48,6580,7769,940522,196080,48,4085,1,9303,OWNER,monthly issuance,931003,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198,40,False,580527,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198
49,6316,6473,940526,76908,12,6409,-1,7815,OWNER,monthly issuance,930126,12,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,52,True,460119,4,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892
50,6512,7454,940526,63312,48,1319,1,8928,OWNER,monthly issuance,930419,4,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,42,True,560507,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
51,6407,6930,940526,25944,24,1081,1,8366,OWNER,monthly issuance,930908,41,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471,38,True,600521,41,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471
52,5002,173,940531,104808,12,8734,1,210,OWNER,monthly issuance,931126,66,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,59,False,391130,66,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103
53,6647,8051,940601,208320,48,4340,1,9637,OWNER,weekly issuance,930207,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,30,True,680414,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
54,7137,10439,940603,151560,24,6315,1,12535,OWNER,monthly issuance,931121,66,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,45,False,530505,66,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103
55,6903,9337,940604,52128,24,2172,1,11189,OWNER,monthly issuance,930913,30,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,39,True,590717,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
56,5918,4576,940604,300204,36,8339,1,5517,OWNER,monthly issuance,930605,27,west Bohemia,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127,34,False,640313,57,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651
57,6642,8027,940605,77640,12,6470,1,9607,OWNER,weekly issuance,930707,44,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325,31,False,670710,27,west Bohemia,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127
58,6210,5927,940606,87216,48,1817,-1,7166,OWNER,monthly issuance,931126,15,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,34,False,640513,15,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879
59,6279,6273,940607,87360,24,3640,1,7576,OWNER,monthly issuance,930721,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,36,False,620710,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822
60,7249,11065,940612,69360,48,1445,1,13295,OWNER,monthly issuance,930319,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,57,False,410728,46,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618
61,6736,8558,940614,288360,60,4806,1,10247,OWNER,issuance after transaction,940227,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,63,False,351215,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
62,6112,5442,940617,174744,24,7281,-1,6567,OWNER,monthly issuance,930322,34,north Bohemia,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323,5190,20,True,781121,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
63,5319,1811,940623,239460,60,3991,1,2195,OWNER,monthly issuance,930922,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,56,True,420913,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
64,6596,7844,940625,91584,24,3816,1,9394,OWNER,monthly issuance,931126,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,47,True,511116,33,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859
65,5837,4260,940629,244560,60,4076,1,5134,OWNER,monthly issuance,931014,56,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158,31,True,670719,58,south Moravia,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471
66,5657,3354,940705,4980,12,415,1,4056,OWNER,monthly issuance,931105,63,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,46,True,520726,63,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
67,5533,2762,940705,111384,24,4641,1,3335,OWNER,monthly issuance,930320,19,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,31,False,670210,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
68,6232,6051,940708,276660,36,7685,-1,7311,OWNER,monthly issuance,930828,56,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158,49,False,490518,56,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158
69,6888,9265,940711,39576,12,3298,1,11101,OWNER,monthly issuance,930204,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,18,True,800502,32,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505
70,6066,5228,940711,173808,24,7242,1,6317,OWNER,issuance after transaction,930623,77,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,41,True,570127,77,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590
71,5549,2824,940716,50460,60,841,1,3414,OWNER,monthly issuance,931020,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,51,True,471017,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
72,5060,426,940719,252060,60,4201,-1,512,OWNER,monthly issuance,931129,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,33,True,650803,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
73,6004,4937,940723,143904,24,5996,1,5965,OWNER,monthly issuance,930220,12,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,47,False,510410,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134
74,5126,790,940724,208128,48,4336,-1,946,OWNER,monthly issuance,930511,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,47,False,510806,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
75,7220,10911,940728,131292,36,3647,1,13104,OWNER,weekly issuance,930529,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,44,False,540320,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
76,6668,8129,940730,74736,36,2076,1,9735,OWNER,monthly issuance,930626,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,33,False,651029,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122
77,5395,2176,940730,299088,36,8308,-1,2635,OWNER,monthly issuance,930606,67,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,32,True,661210,67,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079
78,6836,9093,940803,189300,60,3155,1,10887,OWNER,monthly issuance,930616,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,45,False,531205,58,south Moravia,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471
79,6064,5215,940804,14628,12,1219,1,6301,OWNER,monthly issuance,930701,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,49,True,490308,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
80,6919,9403,940805,120888,36,3358,1,11266,OWNER,weekly issuance,930327,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,54,True,440420,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
81,6841,9104,940807,172080,48,3585,1,10900,OWNER,monthly issuance,940121,10,central Bohemia,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316,41,True,570305,10,central Bohemia,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316
82,6038,5120,940810,323472,48,6739,1,6178,OWNER,monthly issuance,930621,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,58,True,401015,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
83,6729,8519,940811,74688,12,6224,1,10202,OWNER,monthly issuance,930402,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198,53,True,450126,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198
84,7198,10788,940823,45768,12,3814,1,12952,OWNER,weekly issuance,931122,67,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,21,True,770527,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208
85,6686,8260,940825,224604,36,6239,1,9890,OWNER,monthly issuance,930324,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,22,False,760524,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
86,5836,4259,940827,79632,24,3318,1,5133,OWNER,monthly issuance,940408,66,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,39,True,590810,66,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103
87,7061,10105,940827,121896,24,5079,1,12124,OWNER,monthly issuance,930428,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,33,False,650307,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
88,5595,3050,940902,82896,12,6908,1,3687,OWNER,monthly issuance,930508,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,26,False,720206,49,east Bohemia,75685,31,28,5,1,9,60.8,8208,1.89,2.26,155,1660,2123
89,5723,3674,940910,23628,12,1969,1,4428,OWNER,monthly issuance,930312,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,44,False,540309,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822
90,6120,5481,940911,209184,48,4358,1,6616,OWNER,monthly issuance,930816,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,45,False,530618,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
91,6895,9307,940919,41904,12,3492,1,11153,OWNER,monthly issuance,930124,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,24,False,740708,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
92,5882,4427,940926,87816,12,7318,1,5337,OWNER,monthly issuance,930607,32,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505,37,False,610502,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
93,5754,3834,940928,23052,12,1921,1,4620,OWNER,monthly issuance,930119,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,58,True,401101,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
94,6594,7824,940928,189696,24,7904,-1,9367,OWNER,monthly issuance,940517,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,28,True,700219,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
