,loan_id,account_id,loan_date,amount,loan_duration,payments,loan_success
138,5877,4414,950223,97224,24,4051,1
139,6227,6030,950304,28248,24,1177,1
140,7241,11021,950304,168984,24,7041,-1
141,6737,8564,950311,76680,24,3195,1
142,7004,9869,950315,331560,60,5526,1
143,6169,5700,950316,103680,60,1728,-1
144,5208,1247,950316,99696,48,2077,-1
145,6694,8316,950319,134784,24,5616,1
146,5599,3064,950321,15420,12,1285,1
147,6546,7607,950327,31728,24,1322,1
148,5414,2228,950329,185952,48,3874,1
149,5453,2361,950401,156672,36,4352,1
150,5740,3752,950402,18564,12,1547,1
151,5804,4079,950405,158976,48,3312,1
152,6745,8625,950410,47304,24,1971,1
153,6950,9591,950411,104712,24,4363,1
154,6996,9828,950413,126600,24,5275,1
155,5352,1993,950415,68400,12,5700,-1
156,6151,5628,950425,225420,60,3757,1
157,5310,1762,950428,248148,36,6893,1
158,5045,347,950501,187224,24,7801,-1
159,6929,9472,950508,36396,12,3033,1
160,5151,960,950524,189060,60,3151,1
161,5212,1256,950529,71064,36,1974,1
162,5138,854,950530,87216,48,1817,1
163,5713,3629,950530,158760,60,2646,1
164,6704,8377,950601,417060,60,6951,1
165,6474,7190,950606,63360,60,1056,1
166,6676,8159,950613,29784,24,1241,1
167,6965,9656,950613,139536,24,5814,1
168,6725,8489,950623,265320,36,7370,1
169,7166,10630,950624,198240,24,8260,1
170,7138,10440,950703,60000,60,1000,1
171,5970,4774,950709,465072,48,9689,1
172,6157,5650,950710,98592,24,4108,1
173,6153,5632,950725,285600,60,4760,1
174,5693,3489,950801,44088,24,1837,1
175,5922,4580,950805,20220,12,1685,1
176,5959,4727,950811,107640,24,4485,1
177,5980,4825,950818,21396,12,1783,1
178,6764,8776,950826,33984,48,708,1
179,5237,1375,950829,45336,24,1889,1
180,6726,8492,950903,85860,60,1431,1
181,6933,9493,950909,188688,48,3931,1
182,5145,915,950916,309552,48,6449,1
183,7008,9897,950922,36168,12,3014,1
184,7227,10942,951002,314520,60,5242,1
185,6600,7861,951008,21852,36,607,1
186,6712,8405,951014,266220,60,4437,1
187,7057,10093,951020,231696,36,6436,1
188,7176,10663,951028,260028,36,7223,1
189,7304,11349,951029,419880,60,6998,1
190,6362,6738,951031,37908,12,3159,1
191,5880,4423,951031,73836,36,2051,1
192,6535,7546,951102,41952,12,3496,1
193,5449,2343,951104,99336,24,4139,1
194,6342,6609,951112,60156,36,1671,-1
195,5409,2218,951118,182040,60,3034,1
196,6955,9627,951122,244368,48,5091,1
197,6985,9731,951122,113796,36,3161,1
198,5125,789,951123,73056,48,1522,1
199,5805,4081,951128,137904,24,5746,-1
200,6185,5774,951128,31176,24,1299,1
201,7243,11042,951204,217152,36,6032,1
202,6403,6924,951205,194880,48,4060,1
203,6578,7765,951211,27984,12,2332,1
204,5413,2227,951212,92976,24,3874,1
205,6949,9583,951212,104712,24,4363,1
206,6545,7606,951212,191880,60,3198,1
207,6178,5742,951216,232560,48,4845,1
208,5160,1011,951218,204000,60,3400,1
209,6785,8899,951225,125340,60,2089,1
210,6540,7562,951231,309600,48,6450,1
211,6589,7815,960101,189696,24,7904,1
212,5900,4503,960101,135360,48,2820,1
213,5999,4907,960103,98832,48,2059,1
214,6043,5126,960111,20352,48,424,1
215,5482,2496,960112,165120,60,2752,1
216,7263,11138,960119,89880,24,3745,1
217,6013,4995,960203,128988,36,3583,-1
218,5750,3804,960208,63252,12,5271,1
219,6027,5066,960210,61656,24,2569,-1
220,6303,6400,960212,72408,24,3017,-1
221,7213,10884,960213,113544,36,3154,1
222,6659,8092,960220,56100,60,935,1
223,6175,5735,960221,290700,60,4845,-1
224,5610,3112,960224,123216,48,2567,1
225,5563,2912,960229,380160,60,6336,1
226,5989,4852,960304,213300,36,5925,1
227,6698,8327,960310,247728,48,5161,1
228,5312,1772,960313,202788,36,5633,1
229,7189,10728,960321,154656,48,3222,1
230,6816,9017,960326,100224,48,2088,-1
231,6137,5574,960410,44628,12,3719,1
232,5128,808,960411,215616,48,4492,-1
233,5470,2456,960415,200976,48,4187,1
234,5593,3037,960418,277884,36,7719,-1
235,5350,1967,960421,249312,48,5194,1
236,6063,5213,960425,320976,48,6687,-1
237,6501,7418,960429,30276,12,2523,-1
238,5452,2352,960429,49440,60,824,1
239,4961,19,960429,30276,12,2523,-1
240,4973,67,960502,165960,24,6915,1
241,6190,5794,960506,123600,60,2060,1
242,6715,8411,960506,220620,60,3677,1
243,5892,4462,960514,66480,24,2770,-1
244,6550,7614,960518,320592,48,6679,1
245,5706,3608,960524,161496,36,4486,1
246,5148,940,960529,284280,60,4738,1
247,6734,8547,960530,173016,36,4806,1
248,6109,5422,960603,368880,60,6148,1
249,6961,9645,960606,176148,36,4893,1
250,6810,9006,960608,186384,48,3883,1
251,5494,2572,960613,360000,48,7500,1
252,5311,1766,960615,30060,60,501,1
253,5445,2322,960629,46320,24,1930,1
254,5301,1698,960706,141948,36,3943,1
255,7034,10001,960711,19044,36,529,1
256,6751,8680,960714,85716,36,2381,1
257,6667,8127,960715,155880,24,6495,1
258,6130,5541,960718,32640,48,680,1
259,5429,2268,960718,20196,36,561,1
260,5725,3679,960723,444864,48,9268,1
261,6019,5033,960725,11400,12,950,1
262,6421,6985,960725,96768,36,2688,1
263,6992,9790,960727,133968,48,2791,1
264,5136,846,960728,187104,24,7796,1
265,5337,1886,960731,162468,36,4513,1
266,5495,2580,960802,89340,60,1489,1
267,7013,9928,960802,89340,60,1489,1
268,6012,4994,960803,258444,36,7179,1
269,6471,7184,960804,155640,24,6485,1
270,6296,6358,960806,270384,48,5633,1
271,7305,11359,960806,54024,12,4502,1
272,6144,5593,960809,44376,12,3698,1
273,6283,6289,960811,85632,48,1784,1
274,7246,11054,960820,148920,60,2482,1
275,5088,544,960822,91152,24,3798,1
276,5988,4851,960822,141648,24,5902,1
277,5282,1583,960824,388512,48,8094,-1
278,5938,4650,960825,402000,60,6700,1
279,5606,3084,960828,253512,36,7042,-1
280,5385,2143,960909,71460,36,1985,1
281,6865,9199,960911,29448,12,2454,-1
282,5586,2994,960914,48744,36,1354,1
283,6302,6397,960916,181020,60,3017,1
284,7194,10762,960917,68832,36,1912,1
285,6461,7136,960919,74124,36,2059,1
286,6732,8533,960919,174048,48,3626,1
287,6613,7926,960922,84120,24,3505,1
288,7036,10019,960925,194940,36,5415,1
289,5897,4476,960925,15192,24,633,1
290,6995,9814,960926,96168,12,8014,1
291,5415,2236,960926,139464,36,3874,-1
292,7136,10436,960928,54396,36,1511,1
293,7271,11186,961002,392460,60,6541,1
294,5375,2106,961003,101520,12,8460,1
295,5635,3230,961004,77184,36,2144,1
296,6817,9024,961004,70656,48,1472,1
297,5923,4585,961010,64656,48,1347,1
298,5329,1862,961016,396120,60,6602,1
299,6644,8039,961020,93600,24,3900,1
300,6354,6688,961023,22968,36,638,1
301,5082,501,961024,262980,60,4383,1
302,6585,7795,961029,372120,60,6202,1
303,6921,9422,961029,86184,12,7182,1
304,5366,2062,961029,86184,12,7182,1
305,5886,4447,961031,192744,36,5354,1
306,5741,3754,961103,68544,24,2856,1
307,4996,132,961106,88440,12,7370,1
308,6015,5001,961109,110112,24,4588,1
309,6309,6434,961111,110136,24,4589,1
310,6073,5263,961112,276300,60,4605,1
311,6006,4948,961115,359760,60,5996,1
312,5611,3115,961115,321180,60,5353,1
313,6944,9548,961115,46176,48,962,1
314,7101,10297,961118,421008,48,8771,1
315,6599,7859,961119,72120,12,6010,1
316,6940,9510,961122,228276,36,6341,1
317,5209,1250,961125,182640,48,3805,1
318,5388,2153,961128,61560,12,5130,1
319,6011,4981,961128,179328,48,3736,1
320,5591,3021,961204,155616,48,3242,1
321,7154,10520,961205,417600,60,6960,1
322,7130,10411,961211,123408,24,5142,1
323,6818,9030,961212,155616,48,3242,1
324,5625,3189,961215,222180,60,3703,-1
325,6805,8972,961221,45024,48,938,1
326,7233,10963,961225,115812,36,3217,1
327,7308,11362,961227,129408,24,5392,1
