,disp_id,account_id,disposition_type,account_frequency,account_creation,account_district code ,account_district region,account_district no. of inhabitants,account_district no. of municipalities with inhabitants < 499 ,account_district no. of municipalities with inhabitants 500-1999,account_district no. of municipalities with inhabitants 2000-9999 ,account_district no. of municipalities with inhabitants >10000 ,account_district no. of cities ,account_district ratio of urban inhabitants ,account_district average salary ,account_district unemploymant rate '95 ,account_district unemploymant rate '96 ,account_district no. of enterpreneurs per 1000 inhabitants ,account_district no. of commited crimes '95 ,account_district no. of commited crimes '96 ,age,women,birthday,client_district code ,client_district region,client_district no. of inhabitants,client_district no. of municipalities with inhabitants < 499 ,client_district no. of municipalities with inhabitants 500-1999,client_district no. of municipalities with inhabitants 2000-9999 ,client_district no. of municipalities with inhabitants >10000 ,client_district no. of cities ,client_district ratio of urban inhabitants ,client_district average salary ,client_district unemploymant rate '95 ,client_district unemploymant rate '96 ,client_district no. of enterpreneurs per 1000 inhabitants ,client_district no. of commited crimes '95 ,client_district no. of commited crimes '96 
45,48,40,OWNER,monthly issuance,931025,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,58,False,400209,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913
46,49,41,OWNER,monthly issuance,970802,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,39,True,590511,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208
47,50,42,OWNER,monthly issuance,960816,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,20,True,780730,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743
48,51,43,OWNER,monthly issuance,940612,36,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,19,True,791202,36,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132
49,52,44,OWNER,monthly issuance,930510,32,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505,74,False,241212,32,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505
50,53,45,OWNER,monthly issuance,970902,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,21,False,770505,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
51,55,47,OWNER,monthly issuance,930808,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,50,True,480918,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122
52,56,48,OWNER,monthly issuance,961117,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,38,False,600331,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354
54,58,49,OWNER,monthly issuance,970406,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,71,True,270429,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
55,59,50,OWNER,monthly issuance,940506,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,41,False,570218,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
56,60,51,OWNER,monthly issuance,960511,67,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,18,False,800219,67,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079
57,61,52,OWNER,monthly issuance,970129,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,50,True,480806,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913
58,62,53,OWNER,monthly issuance,950607,77,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,66,False,321208,77,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590
59,63,54,OWNER,monthly issuance,950502,4,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,39,False,590604,4,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892
60,64,55,OWNER,monthly issuance,960219,20,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,72,False,260422,20,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542
61,65,56,OWNER,monthly issuance,940516,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,55,True,430527,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134
62,66,57,OWNER,monthly issuance,950521,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,47,True,511110,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
63,67,58,OWNER,monthly issuance,960823,29,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,66,True,321111,29,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888
64,68,59,OWNER,monthly issuance,940327,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,52,False,461214,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891
65,70,61,OWNER,monthly issuance,931211,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,73,False,251222,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
67,72,62,OWNER,monthly issuance,930328,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,75,False,230113,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410
68,73,63,OWNER,monthly issuance,961116,22,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117,74,False,240220,22,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117
70,75,64,OWNER,monthly issuance,970311,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,21,True,770919,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
71,76,65,OWNER,monthly issuance,961029,36,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,31,True,671001,36,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132
72,77,66,OWNER,issuance after transaction,931203,48,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717,42,True,560218,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
73,78,67,OWNER,monthly issuance,941019,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,54,True,440613,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913
74,79,68,OWNER,issuance after transaction,941220,37,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,29,True,690310,37,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166
75,80,69,OWNER,monthly issuance,960112,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,19,True,790225,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
76,81,70,OWNER,monthly issuance,950218,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987,22,False,760429,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987
78,83,71,OWNER,monthly issuance,940305,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,20,True,781225,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
80,85,72,OWNER,weekly issuance,960620,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,37,False,610827,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
82,87,73,OWNER,monthly issuance,931108,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,52,True,461117,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208
83,89,75,OWNER,monthly issuance,950813,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,47,True,510505,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
84,90,76,OWNER,monthly issuance,960516,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,23,False,750817,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
85,91,77,OWNER,monthly issuance,961119,63,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,58,False,400807,63,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
86,92,78,OWNER,monthly issuance,930707,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,32,True,660612,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
87,93,79,OWNER,monthly issuance,961129,3,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813,73,False,250216,3,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813
88,94,80,OWNER,monthly issuance,950927,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,51,False,470909,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891
90,96,81,OWNER,monthly issuance,960718,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,26,False,720229,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
91,97,82,OWNER,monthly issuance,940503,26,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261,33,False,651128,26,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261
92,98,83,OWNER,monthly issuance,930416,26,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261,25,True,730504,33,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859
94,100,84,OWNER,issuance after transaction,951225,44,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325,56,True,420811,44,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325
95,101,85,OWNER,monthly issuance,970323,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,55,False,430123,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
96,102,86,OWNER,monthly issuance,930307,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,40,True,580910,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
98,105,88,OWNER,monthly issuance,960703,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,18,False,800526,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
99,106,89,OWNER,monthly issuance,970925,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,30,True,681230,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
100,107,90,OWNER,monthly issuance,940713,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,26,False,720623,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
101,108,91,OWNER,monthly issuance,961106,17,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181,35,False,630913,17,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181
102,110,93,OWNER,monthly issuance,960612,2,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674,31,True,670413,2,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674
103,112,95,OWNER,monthly issuance,950330,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,63,False,350125,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
105,114,96,OWNER,monthly issuance,930218,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,29,True,690624,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
107,116,97,OWNER,monthly issuance,960505,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,56,False,420128,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
109,118,98,OWNER,monthly issuance,970502,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,76,False,220719,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
111,120,99,OWNER,monthly issuance,950627,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,22,False,760510,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
112,121,100,OWNER,monthly issuance,931228,41,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471,20,True,781029,41,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471
113,122,101,OWNER,monthly issuance,960416,35,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620,35,True,631113,35,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620
114,123,102,OWNER,monthly issuance,931016,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,29,False,690212,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
115,124,103,OWNER,monthly issuance,960310,44,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325,31,False,670921,44,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325
116,125,104,OWNER,monthly issuance,930415,37,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,62,False,361031,37,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166
118,127,105,OWNER,monthly issuance,970710,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,48,True,501227,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354
119,128,106,OWNER,monthly issuance,941127,63,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,25,True,730404,63,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
120,129,107,OWNER,monthly issuance,931105,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,51,True,470531,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
121,130,108,OWNER,monthly issuance,950310,53,south Moravia,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903,56,False,420214,53,south Moravia,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903
122,131,109,OWNER,monthly issuance,970420,53,south Moravia,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903,21,True,770131,53,south Moravia,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903
123,132,110,OWNER,monthly issuance,960717,36,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,45,False,530126,36,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132
124,134,112,OWNER,monthly issuance,930312,6,central Bohemia,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120,66,False,320118,6,central Bohemia,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120
126,136,113,OWNER,monthly issuance,960722,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,77,True,210126,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
127,137,114,OWNER,monthly issuance,970314,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,75,False,230914,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
128,138,115,OWNER,monthly issuance,930319,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,26,True,721021,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
129,139,116,OWNER,monthly issuance,960321,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987,39,True,590725,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987
131,141,117,OWNER,monthly issuance,930905,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,73,False,251102,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
132,142,118,OWNER,monthly issuance,970918,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,61,False,370621,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
133,143,119,OWNER,monthly issuance,930525,27,west Bohemia,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127,20,False,780709,27,west Bohemia,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127
