account_id,loan_date,amount,loan_duration,payments,loan_success,disp_id,account_frequency,account_creation,account_district code ,account_district region,account_district no. of inhabitants,account_district no. of municipalities with inhabitants < 499 ,account_district no. of municipalities with inhabitants 500-1999,account_district no. of municipalities with inhabitants 2000-9999 ,account_district no. of municipalities with inhabitants >10000 ,account_district no. of cities ,account_district ratio of urban inhabitants ,account_district average salary ,account_district unemploymant rate '95 ,account_district unemploymant rate '96 ,account_district no. of enterpreneurs per 1000 inhabitants ,account_district no. of commited crimes '95 ,account_district no. of commited crimes '96 ,age,women,birthday,client_district code ,client_district region,client_district no. of inhabitants,client_district no. of municipalities with inhabitants < 499 ,client_district no. of municipalities with inhabitants 500-1999,client_district no. of municipalities with inhabitants 2000-9999 ,client_district no. of municipalities with inhabitants >10000 ,client_district no. of cities ,client_district ratio of urban inhabitants ,client_district average salary ,client_district unemploymant rate '95 ,client_district unemploymant rate '96 ,client_district no. of enterpreneurs per 1000 inhabitants ,client_district no. of commited crimes '95 ,client_district no. of commited crimes '96 
6118,950108,270648,36,7518,-1,7390,weekly issuance,940307,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,61,False,371104,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
6715,950114,137880,60,2298,-1,8105,weekly issuance,930915,48,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717,35,False,630312,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208
3678,950205,316140,60,5269,-1,4433,monthly issuance,930324,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,30,False,680222,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
9750,950211,151728,48,3161,-1,11695,monthly issuance,940516,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,22,False,760623,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
11021,950304,168984,24,7041,-1,13240,monthly issuance,930810,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,22,False,760318,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
5700,950316,103680,60,1728,-1,6895,monthly issuance,930720,42,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668,27,False,710624,42,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668
1247,950316,99696,48,2077,-1,1505,monthly issuance,930608,25,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218,27,True,710625,65,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718
1993,950415,68400,12,5700,-1,2422,monthly issuance,941030,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,22,True,760609,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
347,950501,187224,24,7801,-1,424,monthly issuance,931213,65,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,51,False,471008,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
6609,951112,60156,36,1671,-1,7980,monthly issuance,950327,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,22,False,760808,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913
4081,951128,137904,24,5746,-1,4918,monthly issuance,950722,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,30,False,680506,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
4995,960203,128988,36,3583,-1,6034,weekly issuance,940801,20,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,59,False,390815,20,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542
5066,960210,61656,24,2569,-1,6115,weekly issuance,950827,13,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,45,True,531225,13,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875
6400,960212,72408,24,3017,-1,7727,issuance after transaction,951009,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,40,True,580613,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
5735,960221,290700,60,4845,-1,6936,monthly issuance,950125,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,39,True,590227,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
9017,960326,100224,48,2088,-1,10797,monthly issuance,951122,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,41,True,570201,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
808,960411,215616,48,4492,-1,968,monthly issuance,950613,69,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358,41,False,570217,69,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358
3037,960418,277884,36,7719,-1,3670,monthly issuance,940526,44,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325,18,True,800917,44,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325
5213,960425,320976,48,6687,-1,6299,monthly issuance,950818,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,62,False,360809,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
7418,960429,30276,12,2523,-1,8888,monthly issuance,950407,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,59,True,390423,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354
19,960429,30276,12,2523,-1,25,monthly issuance,950407,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,59,True,390423,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354
4462,960514,66480,24,2770,-1,5384,weekly issuance,951227,73,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,63,False,350721,73,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433
1583,960824,388512,48,8094,-1,1917,issuance after transaction,941117,69,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358,29,True,690313,69,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358
3084,960828,253512,36,7042,-1,3730,weekly issuance,960128,59,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,53,True,450807,59,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305
9199,960911,29448,12,2454,-1,11019,monthly issuance,960515,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,51,False,471021,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208
2236,960926,139464,36,3874,-1,2708,monthly issuance,950827,73,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,40,False,580812,73,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433
3189,961215,222180,60,3703,-1,3855,monthly issuance,951129,29,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,59,False,390320,29,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888
