,disp_id,account_id,disposition_type,account_frequency,account_creation,account_district region,account_district no. of inhabitants,account_district no. of municipalities with inhabitants < 499 ,account_district no. of municipalities with inhabitants 500-1999,account_district no. of municipalities with inhabitants 2000-9999 ,account_district no. of municipalities with inhabitants >10000 ,account_district no. of cities ,account_district ratio of urban inhabitants ,account_district average salary ,account_district unemploymant rate '95 ,account_district unemploymant rate '96 ,account_district no. of enterpreneurs per 1000 inhabitants ,account_district no. of commited crimes '95 ,account_district no. of commited crimes '96 ,age,women,birthday,region,client_district no. of inhabitants,client_district no. of municipalities with inhabitants < 499 ,client_district no. of municipalities with inhabitants 500-1999,client_district no. of municipalities with inhabitants 2000-9999 ,client_district no. of municipalities with inhabitants >10000 ,client_district no. of cities ,client_district ratio of urban inhabitants ,client_district average salary ,client_district unemploymant rate '95 ,client_district unemploymant rate '96 ,client_district no. of enterpreneurs per 1000 inhabitants ,client_district no. of commited crimes '95 ,client_district no. of commited crimes '96 
95,101,85,OWNER,monthly issuance,970323,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,55,False,430123,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
96,102,86,OWNER,monthly issuance,930307,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,40,True,580910,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
97,103,86,DISPONENT,monthly issuance,930307,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,43,False,550711,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
98,105,88,OWNER,monthly issuance,960703,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,18,False,800526,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
99,106,89,OWNER,monthly issuance,970925,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,30,True,681230,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
100,107,90,OWNER,monthly issuance,940713,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,26,False,720623,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
101,108,91,OWNER,monthly issuance,961106,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181,35,False,630913,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181
102,110,93,OWNER,monthly issuance,960612,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674,31,True,670413,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674
103,112,95,OWNER,monthly issuance,950330,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,63,False,350125,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
104,113,95,DISPONENT,monthly issuance,950330,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,58,True,400815,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
105,114,96,OWNER,monthly issuance,930218,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,29,True,690624,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
106,115,96,DISPONENT,monthly issuance,930218,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,29,False,691224,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
107,116,97,OWNER,monthly issuance,960505,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,56,False,420128,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
108,117,97,DISPONENT,monthly issuance,960505,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,62,True,360920,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
109,118,98,OWNER,monthly issuance,970502,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,76,False,220719,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
110,119,98,DISPONENT,monthly issuance,970502,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,76,True,220228,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
111,120,99,OWNER,monthly issuance,950627,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,22,False,760510,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
112,121,100,OWNER,monthly issuance,931228,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471,20,True,781029,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471
113,122,101,OWNER,monthly issuance,960416,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620,35,True,631113,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620
114,123,102,OWNER,monthly issuance,931016,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,29,False,690212,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
