loan_id,loan_date,loan_value,loan_duration,payments,loan_success,account_frequency,account_creation,account_district code ,account_district region,account_district no. of inhabitants,account_district no. of municipalities with inhabitants < 499 ,account_district no. of municipalities with inhabitants 500-1999,account_district no. of municipalities with inhabitants 2000-9999 ,account_district no. of municipalities with inhabitants >10000 ,account_district no. of cities ,account_district ratio of urban inhabitants ,account_district average salary ,account_district unemploymant rate '95 ,account_district unemploymant rate '96 ,account_district no. of enterpreneurs per 1000 inhabitants ,account_district no. of commited crimes '95 ,account_district no. of commited crimes '96 ,age,women,birthday,client_district code ,client_district region,client_district no. of inhabitants,client_district no. of municipalities with inhabitants < 499 ,client_district no. of municipalities with inhabitants 500-1999,client_district no. of municipalities with inhabitants 2000-9999 ,client_district no. of municipalities with inhabitants >10000 ,client_district no. of cities ,client_district ratio of urban inhabitants ,client_district average salary ,client_district unemploymant rate '95 ,client_district unemploymant rate '96 ,client_district no. of enterpreneurs per 1000 inhabitants ,client_district no. of commited crimes '95 ,client_district no. of commited crimes '96 ,card_type,card issue,no. of transactions,balance,nr_movements,min_trans_amount,max_trans_amount,avg_trans_amount,min_balance,max_balance,avg_balance
6076,970202,117420,60,1957,,monthly issuance,960704,49,east Bohemia,75685,31,28,5,1,9,60.8,8208,6.43,2.26,155,1358.0,2123,32,False,660221,49,east Bohemia,75685,31,28,5,1,9,60.8,8208,6.43,2.26,155,1358.0,2123,no card,0,14.6,24539.8,43.0,14.6,30794.0,6893.93953488372,500.0,68584.8,40841.79534883722
5134,970202,53076,12,4423,,monthly issuance,960306,19,south Bohemia,51428,50,11,3,1,4,52.7,8402,6.43,3.98,120,1358.0,1099,50,False,480521,19,south Bohemia,51428,50,11,3,1,4,52.7,8402,6.43,3.98,120,1358.0,1099,no card,0,91.2,21080.3,65.0,14.6,23817.0,5937.387692307691,500.0,65121.6,33129.40307692311
5419,970205,415800,60,6930,,monthly issuance,960425,1,Prague,1204953,0,0,0,1,1,100.0,12541,6.43,0.43,167,1358.0,99107,49,True,490905,1,Prague,1204953,0,0,0,1,1,100.0,12541,6.43,0.43,167,1358.0,99107,no card,0,60.0,13495.0,37.0,14.6,48667.0,12449.36486486486,700.0,140706.0,44265.27297297299
6255,970208,247920,48,5165,,monthly issuance,960513,67,north Moravia,106054,38,25,6,2,6,63.1,8110,6.43,6.55,109,1358.0,3079,41,True,570416,67,north Moravia,106054,38,25,6,2,6,63.1,8110,6.43,6.55,109,1358.0,3079,no card,0,200.0,23990.1,15.0,25.5,16100.0,3079.333333333333,200.0,31595.5,23594.146666666664
5656,970209,146064,24,6086,,monthly issuance,960827,74,north Moravia,323870,0,0,0,1,1,100.0,10673,6.43,5.44,100,1358.0,18347,45,True,530601,74,north Moravia,323870,0,0,0,1,1,100.0,10673,6.43,5.44,100,1358.0,18347,no card,0,414.0,45020.6,22.0,14.6,44258.0,11676.268181818185,200.0,90387.4,44355.04090909091
6934,970209,116832,12,9736,,monthly issuance,960510,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,6.43,2.07,123,1358.0,2354,50,True,481018,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,6.43,2.07,123,1358.0,2354,no card,0,8100.0,20739.0,46.0,14.6,17136.0,5315.328260869566,400.0,40761.2,23391.68913043479
6028,970209,317520,60,5292,,monthly issuance,960412,6,central Bohemia,77963,60,23,4,2,4,51.5,8546,6.43,4.02,126,1358.0,3120,30,True,680216,6,central Bohemia,77963,60,23,4,2,4,51.5,8546,6.43,4.02,126,1358.0,3120,no card,0,1065.0,38678.7,73.0,14.6,35938.0,6783.863013698629,1100.0,82886.2,56757.30958904106
6490,970210,73260,60,1221,,monthly issuance,960830,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.43,7.75,81,1358.0,10108,58,True,400707,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.43,7.75,81,1358.0,10108,no card,0,1900.0,28038.0,21.0,5.9,25654.5,8085.104761904762,900.0,58294.8,33927.08571428571
6415,970212,475680,48,9910,,monthly issuance,961012,36,north Bohemia,159617,29,19,8,1,9,85.2,9198,6.43,4.28,131,1358.0,6132,32,True,660508,36,north Bohemia,159617,29,19,8,1,9,85.2,9198,6.43,4.28,131,1358.0,6132,no card,0,23900.0,46505.3,12.0,64.3,34100.0,13358.783333333336,700.0,70405.3,40812.49166666667
7087,970220,44304,24,1846,,monthly issuance,960412,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,6.43,8.23,104,1358.0,2822,32,False,660620,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,6.43,8.23,104,1358.0,2822,no card,0,4122.0,46446.1,63.0,14.6,21466.0,4556.826984126984,300.0,58281.2,42830.99523809525
5420,970224,72504,24,3021,,monthly issuance,960413,24,west Bohemia,122603,25,21,6,2,8,80.0,8991,6.43,2.01,128,1358.0,5273,48,True,500626,24,west Bohemia,122603,25,21,6,2,8,80.0,8991,6.43,2.01,128,1358.0,5273,no card,0,1051.0,17104.4,99.0,14.6,62200.0,7488.999999999997,600.0,145620.3,45374.64242424243
5977,970225,59136,48,1232,,monthly issuance,960608,26,west Bohemia,170449,0,0,0,1,1,100.0,10787,6.43,3.09,131,1358.0,6261,19,True,791210,26,west Bohemia,170449,0,0,0,1,1,100.0,10787,6.43,3.09,131,1358.0,6261,no card,0,4413.0,22740.4,44.0,14.6,6620.0,2346.759090909091,6620.0,32572.8,23023.659090909096
6824,970226,71976,24,2999,,issuance after transaction,950830,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,6.43,2.5,125,1358.0,3891,33,False,650714,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,6.43,2.5,125,1358.0,3891,no card,0,40892.0,85375.5,133.0,1.9,49067.0,10085.172932330826,-8245.1,139580.2,39870.41127819543
5207,970228,35904,48,748,,monthly issuance,960508,68,north Moravia,228848,15,40,18,2,6,57.2,9893,6.43,4.72,96,1358.0,5887,52,False,460122,68,north Moravia,228848,15,40,18,2,6,57.2,9893,6.43,4.72,96,1358.0,5887,no card,0,600.0,17662.3,59.0,14.6,7842.0,1997.5101694915256,900.0,34278.5,22981.055932203395
7115,970304,88704,48,1848,,monthly issuance,950504,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,6.43,2.66,102,1358.0,3198,38,True,601029,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,6.43,2.66,102,1358.0,3198,no card,0,14.6,13431.1,131.0,14.6,11800.0,2751.4259541984734,800.0,32019.4,18675.06030534352
7250,970304,119136,48,2482,,monthly issuance,950602,37,north Bohemia,114006,71,26,6,2,9,62.3,9065,6.43,5.39,123,1358.0,4166,35,True,630515,37,north Bohemia,114006,71,26,6,2,9,62.3,9065,6.43,5.39,123,1358.0,4166,no card,0,134.9,45721.0,119.0,14.6,45673.0,6722.079831932768,1100.0,97010.1,42572.41008403363
6010,970306,150180,60,2503,,weekly issuance,960819,60,south Moravia,110643,49,41,4,1,4,51.9,8441,6.43,4.48,115,1358.0,2252,61,False,370501,60,south Moravia,110643,49,41,4,1,4,51.9,8441,6.43,4.48,115,1358.0,2252,no card,0,8309.0,79230.1,16.0,73.0,36791.0,14390.5125,200.0,92464.9,50892.0
6088,970307,90180,36,2505,,monthly issuance,961020,28,west Bohemia,72541,66,26,10,0,8,36.9,8594,6.43,2.01,112,1358.0,1525,38,False,600923,28,west Bohemia,72541,66,26,10,0,8,36.9,8594,6.43,2.01,112,1358.0,1525,no card,0,152.3,36566.0,13.0,34.4,22544.0,8520.461538461539,200.0,51813.7,31516.346153846152
5682,970307,67464,12,5622,,monthly issuance,960313,34,north Bohemia,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,1358.0,5190,63,False,351225,34,north Bohemia,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,1358.0,5190,no card,0,33735.0,59310.8,57.0,14.6,50602.0,14432.868421052632,600.0,92407.6,46016.19824561402
7201,970307,67464,12,5622,,monthly issuance,960313,34,north Bohemia,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,1358.0,5190,63,False,351225,34,north Bohemia,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,1358.0,5190,no card,0,33735.0,64497.2,57.0,14.6,50602.0,14344.908771929824,600.0,92407.6,48557.38070175437
6938,970310,341280,60,5688,,monthly issuance,960129,9,central Bohemia,81344,61,23,4,2,6,55.3,8899,6.43,3.97,149,1358.0,2487,49,False,490414,9,central Bohemia,81344,61,23,4,2,6,55.3,8899,6.43,3.97,149,1358.0,2487,classic,970102,37085.0,68367.1,77.0,8.5,56700.0,13641.946753246752,700.0,110020.6,49678.36623376625
6875,970313,83280,48,1735,,monthly issuance,950624,37,north Bohemia,114006,71,26,6,2,9,62.3,9065,6.43,5.39,123,1358.0,4166,57,True,411104,37,north Bohemia,114006,71,26,6,2,9,62.3,9065,6.43,5.39,123,1358.0,4166,no card,0,15698.0,41045.9,139.0,14.6,23547.0,4958.80143884892,700.0,69424.9,39962.46618705041
5953,970314,97176,24,4049,,monthly issuance,961028,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,6.43,1.44,127,1358.0,4987,43,True,550302,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,6.43,1.44,127,1358.0,4987,no card,0,13307.0,91941.4,16.0,19.6,68788.0,25922.218750000004,400.0,106189.2,66376.84999999999
5942,970315,162624,48,3388,,monthly issuance,950808,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.43,7.75,81,1358.0,10108,41,True,571104,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.43,7.75,81,1358.0,10108,no card,0,5016.0,39415.4,134.0,14.6,30492.0,6360.308955223879,16399.9,73289.5,37092.94552238806
5382,970317,22932,36,637,,monthly issuance,960806,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,6.43,3.49,108,1358.0,2799,45,True,531119,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,6.43,3.49,108,1358.0,2799,no card,0,12653.0,49849.1,41.0,14.6,18980.0,4503.651219512195,300.0,56308.4,42536.88536585367
6377,970317,17184,12,1432,,monthly issuance,960511,1,Prague,1204953,0,0,0,1,1,100.0,12541,6.43,0.43,167,1358.0,99107,54,True,440531,1,Prague,1204953,0,0,0,1,1,100.0,12541,6.43,0.43,167,1358.0,99107,no card,0,11793.0,40773.2,70.0,14.6,17689.5,3752.75,400.0,44504.8,29906.53142857145
5931,970317,66696,24,2779,,monthly issuance,960721,3,central Bohemia,75232,55,26,4,1,5,41.7,8980,6.43,2.21,111,1358.0,2813,32,True,661222,3,central Bohemia,75232,55,26,4,1,5,41.7,8980,6.43,2.21,111,1358.0,2813,no card,0,3100.0,12551.9,43.0,14.6,56600.0,12559.06046511628,1100.0,115744.9,51945.21627906976
5992,970318,76080,12,6340,,monthly issuance,960312,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,6.43,4.43,118,1358.0,3040,19,True,790406,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,6.43,4.43,118,1358.0,3040,junior,961028,3300.0,70923.6,81.0,14.6,57063.0,11450.617283950618,300.0,103809.7,50621.10493827166
5790,970320,84288,48,1756,,monthly issuance,961119,57,south Moravia,161954,21,37,20,3,8,48.0,8720,6.43,4.5,116,1358.0,3651,21,True,771101,57,south Moravia,161954,21,37,20,3,8,48.0,8720,6.43,4.5,116,1358.0,3651,no card,0,11400.0,37381.6,12.0,36.1,18368.0,6498.458333333333,1000.0,48781.6,29824.12499999999
6753,970320,67980,12,5665,,monthly issuance,961122,66,south Moravia,125832,151,41,2,3,5,48.3,8512,6.43,4.12,102,1358.0,2103,52,True,460331,66,south Moravia,125832,151,41,2,3,5,48.3,8512,6.43,4.12,102,1358.0,2103,no card,0,17636.0,55705.9,14.0,32.4,26454.0,7479.0,400.0,55705.9,34806.92142857144
6562,970321,94488,24,3937,,monthly issuance,960721,1,Prague,1204953,0,0,0,1,1,100.0,12541,6.43,0.43,167,1358.0,99107,40,False,580821,1,Prague,1204953,0,0,0,1,1,100.0,12541,6.43,0.43,167,1358.0,99107,no card,0,26100.0,70683.9,66.0,14.6,49400.0,11653.44242424242,800.0,105964.6,60311.7666666667
7046,970328,91632,12,7636,,monthly issuance,960328,17,south Bohemia,74062,99,15,4,2,7,61.4,8114,6.43,2.62,119,1358.0,1181,55,False,430705,17,south Bohemia,74062,99,15,4,2,7,61.4,8114,6.43,2.62,119,1358.0,1181,no card,0,6700.0,14930.1,70.0,7.3,9100.0,3045.662857142858,300.0,29167.6,17625.444285714297
5868,970329,90156,12,7513,,monthly issuance,960311,69,north Moravia,42821,4,13,5,1,3,48.4,8173,6.43,7.01,124,1358.0,1358,52,True,461007,69,north Moravia,42821,4,13,5,1,3,48.4,8173,6.43,7.01,124,1358.0,1358,no card,0,6523.0,78119.7,65.0,14.6,67614.0,18359.004615384616,700.0,130981.4,77525.1169230769
5784,970329,84600,36,2350,,monthly issuance,960922,54,south Moravia,387570,0,0,0,1,1,100.0,9897,6.43,1.96,140,1358.0,18696,60,False,380816,54,south Moravia,387570,0,0,0,1,1,100.0,9897,6.43,1.96,140,1358.0,18696,no card,0,6000.0,16915.7,32.0,14.6,46979.0,10482.165624999996,900.0,105258.8,41766.69374999999
5878,970401,74040,12,6170,,monthly issuance,950705,73,north Moravia,182027,17,49,12,2,7,56.4,8746,6.43,3.74,90,1358.0,4433,42,True,560313,73,north Moravia,182027,17,49,12,2,7,56.4,8746,6.43,3.74,90,1358.0,4433,no card,0,14.6,35310.2,190.0,14.6,36486.0,5633.203684210524,600.0,73209.0,44234.82947368426
5110,970401,102240,60,1704,,monthly issuance,950803,58,south Moravia,109164,98,16,6,1,4,63.6,8757,6.43,3.95,96,1358.0,2471,53,True,450924,58,south Moravia,109164,98,16,6,1,4,63.6,8757,6.43,3.95,96,1358.0,2471,no card,0,14.6,34768.4,126.0,14.6,14400.0,3746.155555555554,900.0,43627.3,29946.995238095213
5210,970401,148140,36,4115,,weekly issuance,950726,13,central Bohemia,53921,61,22,1,1,2,41.3,8598,6.43,3.26,123,1358.0,1875,36,True,620306,13,central Bohemia,53921,61,22,1,1,2,41.3,8598,6.43,3.26,123,1358.0,1875,no card,0,30.0,26222.2,118.0,25.8,37032.0,8874.036440677968,1000.0,78468.6,40688.34830508475
7230,970402,18720,60,312,,monthly issuance,960729,25,west Bohemia,88757,60,33,3,2,10,61.7,8554,6.43,2.68,113,1358.0,2218,38,False,601031,25,west Bohemia,88757,60,33,3,2,10,61.7,8554,6.43,2.68,113,1358.0,2218,no card,0,14.6,44308.1,42.0,11.6,19137.0,4589.166666666667,300.0,58660.4,40748.34523809524
5005,970410,27456,12,2288,,weekly issuance,960812,71,north Moravia,161227,5,35,11,4,10,69.7,8678,6.43,5.57,102,1358.0,4595,31,False,670924,71,north Moravia,161227,5,35,11,4,10,69.7,8678,6.43,5.57,102,1358.0,4595,no card,0,28700.0,36280.9,75.0,30.0,61900.0,11800.30666666667,800.0,111282.3,48780.09599999996
6871,970413,164256,48,3422,,monthly issuance,960101,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,6.43,0.59,154,1358.0,3529,26,False,720820,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,6.43,0.59,154,1358.0,3529,no card,0,3900.0,23421.1,98.0,1.4,49398.0,8080.237755102036,600.0,116637.5,42341.63775510207
5363,970422,293880,60,4898,,weekly issuance,951108,64,south Moravia,197099,29,41,10,2,10,74.7,9624,6.43,2.31,145,1358.0,4265,23,True,750128,64,south Moravia,197099,29,41,10,2,10,74.7,9624,6.43,2.31,145,1358.0,4265,no card,0,2600.0,-204.8,90.0,7.0,47725.0,11288.745555555555,-2804.8,132818.3,53227.14444444442
7253,970426,98304,12,8192,,monthly issuance,951110,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,6.43,1.54,107,1358.0,1913,28,False,700726,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,6.43,1.54,107,1358.0,1913,no card,0,64100.0,44345.5,113.0,14.6,73724.0,16857.623008849565,300.0,125191.7,66405.07079646019
6055,970428,399120,60,6652,,monthly issuance,960203,75,north Moravia,138032,67,30,4,2,5,64.6,8819,6.43,5.66,99,1358.0,4505,56,True,420820,75,north Moravia,138032,67,30,4,2,5,64.6,8819,6.43,5.66,99,1358.0,4505,no card,0,4700.0,18581.6,60.0,14.6,36305.0,8508.544999999996,300.0,85656.2,42435.31166666666
5072,970428,196800,24,8200,,monthly issuance,961011,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,6.43,1.44,127,1358.0,4987,38,True,600719,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,6.43,1.44,127,1358.0,4987,no card,0,10000.0,38166.1,23.0,14.6,73802.0,26260.66956521739,300.0,113888.0,58669.5043478261
6913,970429,99936,24,4164,,monthly issuance,950917,1,Prague,1204953,0,0,0,1,1,100.0,12541,6.43,0.43,167,1358.0,99107,32,True,660122,1,Prague,1204953,0,0,0,1,1,100.0,12541,6.43,0.43,167,1358.0,99107,no card,0,5510.0,91178.5,152.0,14.6,49312.0,7603.798026315787,400.0,111406.5,55851.802631578925
6386,970430,124344,36,3454,,monthly issuance,950819,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,6.43,2.5,125,1358.0,3891,19,True,790608,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,6.43,2.5,125,1358.0,3891,no card,0,46774.0,66449.9,148.0,14.6,63000.0,6250.356756756754,321.0,103753.3,25654.378378378373
5634,970501,39024,12,3252,,monthly issuance,951118,64,south Moravia,197099,29,41,10,2,10,74.7,9624,6.43,2.31,145,1358.0,4265,62,False,361223,64,south Moravia,197099,29,41,10,2,10,74.7,9624,6.43,2.31,145,1358.0,4265,no card,0,202.9,35436.7,136.0,14.6,58400.0,10322.529411764708,300.0,134678.1,60289.95441176463
5758,970502,307200,60,5120,,monthly issuance,960423,53,south Moravia,107911,88,33,6,2,7,50.9,8240,6.43,3.56,99,1358.0,1903,36,False,620226,53,south Moravia,107911,88,33,6,2,7,50.9,8240,6.43,3.56,99,1358.0,1903,no card,0,46.5,10058.2,68.0,3.7,61400.0,12548.313235294114,200.0,142668.1,44484.07500000004
6819,970503,50112,24,2088,,monthly issuance,970115,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,6.43,1.81,111,1358.0,5410,50,False,480129,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,6.43,1.81,111,1358.0,5410,no card,0,177.4,68352.1,16.0,9.3,46534.0,10238.55625,900.0,102693.8,46214.125
7088,970503,239160,60,3986,,monthly issuance,960221,27,west Bohemia,67298,71,19,10,0,7,43.8,8561,6.43,1.29,110,1358.0,1127,51,False,470130,27,west Bohemia,67298,71,19,10,0,7,43.8,8561,6.43,1.29,110,1358.0,1127,no card,0,129.7,28625.4,106.0,14.6,35871.0,6547.782075471694,500.0,77714.9,37233.143396226464
5039,970503,66840,24,2785,,issuance after transaction,960126,15,south Bohemia,58796,22,16,7,1,5,51.9,9045,6.43,3.6,124,1358.0,1879,59,True,390517,15,south Bohemia,58796,22,16,7,1,5,51.9,9045,6.43,3.6,124,1358.0,1879,no card,0,100.0,22674.3,94.0,21.5,59900.0,12542.66489361702,700.0,109016.3,38819.32021276595
5532,970504,335280,48,6985,,weekly issuance,960126,57,south Moravia,161954,21,37,20,3,8,48.0,8720,6.43,4.5,116,1358.0,3651,46,True,521226,57,south Moravia,161954,21,37,20,3,8,48.0,8720,6.43,4.5,116,1358.0,3651,no card,0,155.1,29880.9,97.0,23.1,62868.0,13584.956701030926,500.0,123335.2,43629.43608247423
6037,970504,53232,48,1109,,monthly issuance,950805,72,north Moravia,226122,32,50,7,4,4,62.6,8994,6.43,4.79,110,1358.0,9208,34,False,640517,72,north Moravia,226122,32,50,7,4,4,62.6,8994,6.43,4.79,110,1358.0,9208,no card,0,139.9,35627.1,150.0,14.6,15360.0,2734.4739999999997,1100.0,49865.1,30896.00266666667
6322,970506,76992,24,3208,,monthly issuance,961218,74,north Moravia,323870,0,0,0,1,1,100.0,10673,6.43,5.44,100,1358.0,18347,33,False,651017,74,north Moravia,323870,0,0,0,1,1,100.0,10673,6.43,5.44,100,1358.0,18347,no card,0,12587.0,52478.9,35.0,14.6,44561.0,14823.30571428571,900.0,112175.5,61992.29999999999
6887,970508,39576,12,3298,,monthly issuance,960604,68,north Moravia,228848,15,40,18,2,6,57.2,9893,6.43,4.72,96,1358.0,5887,34,True,640729,68,north Moravia,228848,15,40,18,2,6,57.2,9893,6.43,4.72,96,1358.0,5887,no card,0,74.1,29658.4,75.0,14.6,29685.0,6148.310666666665,700.0,64870.4,30719.74666666664
6660,970509,220428,36,6123,,monthly issuance,961124,67,north Moravia,106054,38,25,6,2,6,63.1,8110,6.43,6.55,109,1358.0,3079,36,False,620607,67,north Moravia,106054,38,25,6,2,6,63.1,8110,6.43,6.55,109,1358.0,3079,no card,0,231.7,48503.1,20.0,14.6,69012.0,23042.385,600.0,105524.2,60165.795
5451,970511,159744,48,3328,,monthly issuance,960804,18,south Bohemia,70699,60,13,2,1,4,65.3,8968,6.43,3.35,131,1358.0,1910,25,True,730410,18,south Bohemia,70699,60,13,2,1,4,65.3,8968,6.43,3.35,131,1358.0,1910,no card,0,575.0,53598.4,28.0,14.6,42869.0,14081.532142857142,600.0,105953.6,56388.8107142857
6014,970518,165168,36,4588,,monthly issuance,960212,1,Prague,1204953,0,0,0,1,1,100.0,12541,6.43,0.43,167,1358.0,99107,40,True,580703,1,Prague,1204953,0,0,0,1,1,100.0,12541,6.43,0.43,167,1358.0,99107,no card,0,6327.0,25659.5,97.0,14.6,41296.0,8861.790721649484,300.0,87236.0,35478.661855670114
5556,970519,268320,60,4472,,monthly issuance,960904,1,Prague,1204953,0,0,0,1,1,100.0,12541,6.43,0.43,167,1358.0,99107,46,True,520929,1,Prague,1204953,0,0,0,1,1,100.0,12541,6.43,0.43,167,1358.0,99107,no card,0,4059.0,12652.9,52.0,14.6,18224.0,4646.150000000001,200.0,49189.6,24411.29423076921
6346,970522,100260,60,1671,,monthly issuance,950708,1,Prague,1204953,0,0,0,1,1,100.0,12541,6.43,0.43,167,1358.0,99107,31,False,670719,1,Prague,1204953,0,0,0,1,1,100.0,12541,6.43,0.43,167,1358.0,99107,no card,0,1900.0,77813.6,62.0,14.6,49000.0,9885.91451612903,1000.0,106481.5,40047.08387096776
5850,970522,164196,36,4561,,issuance after transaction,960204,64,south Moravia,197099,29,41,10,2,10,74.7,9624,6.43,2.31,145,1358.0,4265,42,True,560923,64,south Moravia,197099,29,41,10,2,10,74.7,9624,6.43,2.31,145,1358.0,4265,no card,0,33346.0,82971.3,49.0,2.6,63500.0,12583.21224489796,500.0,119068.0,49558.6857142857
5940,970528,106944,24,4456,,monthly issuance,970103,63,south Moravia,86513,38,36,5,1,5,50.5,8288,6.43,4.52,110,1358.0,1460,45,True,530322,63,south Moravia,86513,38,36,5,1,5,50.5,8288,6.43,4.52,110,1358.0,1460,no card,0,5400.0,54045.6,18.0,95.5,31480.0,14678.866666666663,800.0,83932.6,57324.07222222221
